subclone_1,subclone_2,total_tumor,days
453.4736094999502,42.27238504886203,495.74599454881223,403
454.9080981070263,42.42096776158721,497.3290658686135,404
456.36920061758684,42.571791630304176,498.940992247891,405
457.8568353556855,42.7248530380564,500.5816883937419,406
459.37091802703054,42.8801481620935,502.25106618912406,407
460.9113617189848,43.03767297387124,503.949034692856,408
462.47807690056584,43.19742323905153,505.6755001396174,409
464.07097142244595,43.359394517502466,507.4303659399484,410
465.68995051695197,43.52358216329826,509.21353268025024,411
467.33491679806536,43.689981324719284,511.02489812278463,412
469.0057702614223,43.85858694425208,512.8643572056744,413
470.70240828431366,44.02939375858933,514.731802042903,414
472.42472562568486,44.20239629862987,516.6271219243147,415
474.17261442613597,44.37758888947869,518.5502033156147,416
475.94596420792186,44.55496565044692,520.5009298583687,417
477.7446618749518,44.73452049505187,522.4791823700036,418
479.56859171279,44.91624713101697,524.484838843807,419
481.4176353886552,45.10013906027185,526.5177744489271,420
483.29167195142054,45.28618957895223,528.5778615303727,421
485.1905778316143,45.47439177740003,530.6649696090143,422
487.114226841419,45.664738540163306,532.7789653815823,423
489.062490174672,45.857222545996265,534.9197127206683,424
491.03523640686535,46.05183626785927,537.0870726747246,425
493.0323314951455,46.24857197291884,539.2809034680644,426
495.0536387783139,46.44742172254764,541.5010605008615,427
497.0990189768263,46.64837737232449,543.7473963491508,428
499.16833019279346,46.85143057203436,546.0197607648279,429
501.2614279099805,47.056572765668385,548.3180006756489,430
503.3781649938073,47.26379519142384,550.6419601852311,431
505.51839169134837,47.47308888170414,552.9914805730525,432
507.681955631333,47.6844446631189,555.3664002944519,433
509.86870182414486,47.89785315648383,557.7665549806287,434
512.0784726618225,48.11330477682084,560.1917774386434,435
514.3111079180592,48.330789733357946,562.6418976514171,436
516.5664447482025,48.550298029529365,565.1167427777318,437
518.8443176892549,48.77181946297543,567.6161371522303,438
521.1445586598735,48.995343625542645,570.1399022854162,439
523.4669969603701,49.22085990328367,572.6878568636538,440
525.8114592727111,49.448357476457296,575.2598167491684,441
528.1777696605174,49.67782531952849,577.8555949800458,442
530.5657495690648,49.90925220116836,580.4750017702331,443
532.9752178252835,50.142626684254154,583.1178445095377,444
535.4059906377586,50.377937125869316,585.7839277636278,445
537.8578815967297,50.615171677303394,588.4730532740331,446
540.3307016740912,50.85431828405211,591.1850199581434,447
542.8266810100282,51.09554090907641,593.9222219191046,448
545.3492541183376,51.33909167513202,596.6883457934697,449
547.8985945116254,51.58498576145638,599.4835802730818,450
550.4748530525051,51.83323670547181,602.3080897579769,451
553.0781819561705,52.083858148134134,605.1620401043047,452
555.708734790395,52.336863833932675,608.0455986243277,453
558.3666664755325,52.59226761089028,610.9589340864228,454
561.0521332845162,52.85008343056331,613.9022167150796,455
563.7652928428598,53.11032534804163,616.8756181909015,456
566.5063041286566,53.3730075219486,619.8793116506051,457
569.27532747258,53.63814421444113,622.9134716870211,458
572.0725245578835,53.9057497912096,625.9782743490931,459
574.8980584204003,54.17583872147793,629.0738971418782,460
577.7520934485437,54.44842557800354,632.2005190265472,461
580.634795383307,54.72352503707735,635.3583204203844,462
583.5463313182634,55.001151878523814,638.5474831967872,463
586.486869699566,55.28132098570088,641.7681906852669,464
589.4565803259478,55.56404734550001,645.0206276714479,465
592.4556343487221,55.849346048346185,648.3049803970683,466
595.4842042717818,56.13723228819788,651.6214365599797,467
598.5424639516,56.427721362547096,654.9701853141471,468
601.6305885972295,56.72082867241935,658.3514172696488,469
604.7487547703032,57.016569722373646,661.7653244926769,470
607.8971403850342,57.31496012050252,665.2121005055367,471
611.0759247082151,57.61601557843201,668.6919402866471,472
614.2852883592187,57.91975191132167,672.2050402705404,473
617.5254133099979,58.22618503786455,675.7515983478625,474
620.7964828850853,58.53533098028725,679.3318138653725,475
624.0986817615936,58.847205864349824,682.9458876259434,476
627.4321959692154,59.16182591934588,686.5940218885613,477
630.7972128902234,59.47920747810252,690.276420368326,478
634.1939212594698,59.79936697698037,693.9932882364502,479
637.6225111643876,60.12232095587355,697.7448321202611,480
641.0831740449887,60.44808605820969,701.5312601031984,481
644.576102693866,60.77667903094995,705.3527817248159,482
648.1014912561916,61.10811672458899,709.2096079807806,483
651.6595352297179,61.442416093154975,713.1019513228729,484
655.2504314647773,61.77959419420959,717.0300256589869,485
658.8743781642819,62.119668188848024,720.9940463531299,486
662.531574883724,62.46265534169899,724.994230225423,487
666.2222225311757,62.80857302092469,729.0307955521004,488
669.9465233672893,63.157438698220865,733.1039620655101,489
673.7046810052967,63.50926994881674,737.2139509541134,490
677.4969004110101,63.86408445147506,741.3609848624851,491
681.3233879028213,64.2218999884921,745.5452878913134,492
685.1843511517025,64.5827344456976,749.7670855974001,493
689.0799991812055,64.94660581245486,754.0266049936604,494
693.0105423674622,65.31353218166069,758.3240745491229,495
696.9761924391844,65.68353174974536,762.6597241889298,496
700.977162477664,66.05662281667267,767.0337852943367,497
705.0136669167728,66.43282378593999,771.4464907027127,498
709.0859215429623,66.81215316457812,775.8980747075404,499
713.1941434952644,67.19462956315142,780.3887730584158,500
717.3385512652907,67.58027169575774,784.9188229610484,501
721.5193646972327,67.96909838002846,789.4884630772611,502
725.736804987862,68.36112853712845,794.0979335249905,503
729.9910946865301,68.75638119175608,798.7474758782862,504
734.2824576951687,69.15487547214327,803.437333167312,505
738.6111192682888,69.55663061005545,808.1677498783442,506
742.9773060129821,69.9616659407915,812.9389719537736,507
747.38124588892,70.37000090318388,817.7512467921039,508
751.8231682083536,70.78165503959852,822.6048232479521,509
756.3033036361143,71.1966479959349,827.4999516320491,510
760.8218841896132,71.61499952162595,832.4368837112391,511
765.3791432388417,72.03672946963816,837.4158727084799,512
769.9753155063709,72.46185779647153,842.4371733028424,513
774.6106370673516,72.89040456215955,847.5010416295112,514
779.2853453495153,73.32238993026922,852.6077352797845,515
783.9996791331728,73.75783416790108,857.7575133010739,516
788.7538785512149,74.19675764568913,862.950636196904,517
793.5481850891131,74.63918083780095,868.187365926914,518
798.3828415849177,75.08512432193756,873.4679659068553,519
803.2580922292599,75.53460877933354,878.7927010085934,520
808.1741825653505,75.98765499475697,884.1618375601075,521
