subclone_1,subclone_2,subclone_3,total_tumor,days
201148.4911254082,0.402000979226044,22574.6444892956,223723.53761568305,164
202809.99811092217,0.3856339862058651,22423.23394553463,225233.617690443,165
204484.96857448787,0.37009131749586077,22268.155798824973,226753.49446463032,166
206173.50761580127,0.3553286656061275,22109.496869395807,228283.35981386268,167
207875.7211014981,0.34130348595914045,21947.347290525147,229823.4096955092,168
209591.71566515355,0.3279749968897534,21781.800508539847,231373.8441486903,169
211321.59870728268,0.31530417964519913,21612.953282815575,232934.8672942779,170
213065.47839534018,0.30325377838508893,21440.90568577685,234506.6873348954,171
214823.46366372032,0.2917883001814132,21265.761102897,236089.5165549175,172
216595.66421375712,0.2808740150185408,21087.6262326982,237683.57132047034,173
218382.1905137243,0.27047895579321934,20906.611086751454,239289.07207943153,174
220183.15379883518,0.2605729183145755,20722.828989676593,240906.24336143007,175
221998.66607124277,0.25112746130411434,20536.396579142274,242535.31377784634,176
223828.8401000398,0.24211590639572,20347.433805866,244176.51602181216,177
225673.7894212586,0.2335133381356552,20156.06393361409,245830.08686821084,178
227533.62833787128,0.2252966039825615,19962.4135392017,247496.26717367696,179
229408.47191978953,0.2174443143074592,19766.612512492822,249175.30187659664,180
231298.43600386474,0.2099368423937473,19568.79405640027,250867.4399971074,181
233203.63719388793,0.20275632443720365,19369.09468688569,252572.93463709805,182
235124.19287835358,0.19588659059554067,19167.653409395083,254292.04217433927,183
237060.22182908197,0.1893106631323248,18964.58133241486,256024.99247215994,184
239011.8430544246,0.1830144367910002,18760.00909494539,257772.03516380678,185
240979.17598991503,0.1769857404562696,18554.08291029531,259533.4358859508,186
242962.34090833933,0.17121276855904494,18346.946694578804,261309.4588156867,187
244961.45891973595,0.16568408107644755,18138.74206671562,263100.3666705327,188
246976.65197139568,0.1603886035318079,17929.608348431066,264906.4207084303,189
249008.04284786174,0.1553156269946658,17719.682564256007,266727.8807277447,190
251055.7551709298,0.1504548080807703,17509.099441526865,268565.0050672648,191
253119.91339964786,0.14579616895207975,17297.99141038562,270418.05060620245,192
255200.64283031638,0.1413300973167617,17086.488603779813,272287.2727641935,193
257298.06959648817,0.13704734642919295,16874.71885746254,274172.9255012971,194
259412.3206689685,0.13293903508995963,16662.80770999246,276075.2613179961,195
261543.52385581494,0.12899664764585717,16450.878402733782,277994.5312551964,196
263691.8078023376,0.12521203398989011,16239.051879856284,279930.9848942278,197
265857.3019910988,0.12157740956127241,16027.446788335292,281884.87035684363,198
268040.13674191345,0.11808535534542723,15816.179477951693,283856.4343052205,199
270240.44321184885,0.11472881787398696,15605.36400129194,285845.92194195866,200
272458.3533952245,0.11150110922479325,15395.112113748033,287853.57701008173,201
274694.0001236125,0.10839590702189711,15185.533273517538,289879.6417930371,202
276947.51706583734,0.10540725443555875,14976.734641603576,291924.35711469536,203
279219.0387279758,0.10252956018224761,14768.821081814825,293987.9623393508,204
281508.70045335713,0.09975759852464244,14561.895160765525,296070.6953717212,205
283816.6384225629,0.09708650927163125,14356.057147875474,298172.7926569477,206
286142.98965342727,0.09451179777831129,14151.405015370023,300294.48918059503,207
288487.8920010366,0.0920293349459891,13948.034438280085,302436.01846865163,208
290851.4841577298,0.08963535722218045,13746.038794442133,304597.6125875291,209
293233.9056895256,0.08732643450912639,13545.509137071478,306779.5021530316,210
295635.29834551114,0.08509820972594688,13346.528547296602,308981.91199101746,211
298055.8037150596,0.08294717913038997,13149.165118982124,311205.0517812209,212
300495.5634725269,0.08087060761341422,12953.482458138891,313449.12680127344,213
302954.72022075084,0.07886582539672878,12759.54129445466,315714.34038103087,214
305433.4174910511,0.07693022803279333,12567.3994812941,318000.8939025732,215
307931.79974322923,0.07506127640481819,12377.11199569878,320308.9868002044,216
310450.0123655689,0.07325649672676428,12188.730938387182,322638.8165604528,217
312988.20167483535,0.07151348054334304,12002.305533754688,324990.5787220706,218
315546.5149162759,0.06982988473001656,11817.882129873598,327364.4668760343,219
318125.10026361985,0.06820343149299746,11635.504198493109,329760.67266554444,220
320724.10681907827,0.066631908369249,11455.212335039332,332179.38578602596,221
323343.68461334414,0.06511316822648497,11277.04425861528,334620.79398512765,222
325983.9846055924,0.06364512926316981,11101.034812000878,337085.0830627225,223
328645.1586834798,0.06222577500851849,10927.215961652955,339572.43687090784,224
331327.35966314515,0.06085315432249657,10755.616797705248,342083.03731400473,225
334030.741289209,0.05952538139582024,10586.263533968402,344617.06434855884,226
336755.45823477383,0.058240635749956235,10419.17950792997,347174.6959833395,227
339501.66610142414,0.05699716223712188,10254.385180754409,349756.1082793408,228
342269.52141922625,0.05579327104028509,10091.898137283084,352361.4753497804,229
345059.1816467283,0.0546273376731644,9931.733086034274,354990.9693601002,230
347870.8051709605,0.05349780298022886,9773.901859203152,357644.76052796666,231
350704.5513074348,0.05240317313669815,9618.413412661812,360323.01712326973,232
353560.58030014514,0.05134201964854254,9465.273825959244,363025.905468124,233
356439.05332156736,0.05031297935248289,9314.486302321355,365753.5899368681,234
359340.1324726592,0.0493147544159906,9166.051168650953,368506.23295606463,235
362263.98078286025,0.0483461123372877,9019.965875527754,371283.9950045004,236
365210.7622100921,0.047405885945346796,8876.224997208381,374087.03461318644,237
368180.64164075814,0.04649297339989107,8734.820231626369,376915.50836535793,238
371173.78488974366,0.04560633819139429,8595.740400392151,379769.570896474,239
374190.35870041593,0.04474500914108082,8458.971448793076,382649.37489421817,240
377230.53074462415,0.04390808040092561,8324.496445793397,385555.07109849795,241
