subclone_1,subclone_2,subclone_3,subclone_4,total_tumor,days
18991.800351021422,17054.11565470273,0.5822959866369516,2.868082293797662,36049.366384004585,125
19131.80487367035,16796.489752119724,0.5413501221494399,2.7049513874463913,35931.54092729967,126
19272.84316600739,16537.448609959512,0.5036075318330466,2.55232633647796,35813.34770983522,127
19414.922877629924,16277.249108426382,0.46875414734216303,2.4094312048200877,35695.05017140846,128
19558.05171729265,16016.134022358961,0.43656775645402823,2.2755721251092837,35576.89787953318,129
19702.237435616065,15754.356381931153,0.40685775604400265,2.1501615113590997,35459.150836814624,130
19847.487835813823,15492.168394985209,0.3794368140378896,2.032649780378667,35342.068317393445,131
19993.81077722463,15229.816273595328,0.3541272252527775,1.9225140410853032,35225.9036920863,132
20141.214175312245,14967.540234067657,0.3307609113970398,1.81925809450451,35110.9044283858,133
20289.706001665498,14705.574496940288,0.3091794210703349,1.7224124337699742,34997.31209046063,134
20439.29428399827,14444.147286983256,0.28923392976360673,1.6315342441235674,34885.362339155414,135
20589.987106149507,14183.48083319854,0.2707852398590837,1.5462074029153448,34775.28493199082,136
20741.792608083204,13923.791368820073,0.25370378063027976,1.4660424796035483,34667.30372316351,137
20894.718985888423,13665.289131313726,0.23786960824199355,1.390676735754603,34561.636663546145,138
21048.774491779284,13408.178362377315,0.22317240575030906,1.3197741250431203,34458.495800687386,139
21203.967434094964,13152.657307940608,0.20951148310259526,1.2530252932518942,34358.08727881192,140
21360.3061772997,12898.918218165314,0.19679577713750618,1.1901475782719044,34260.61133882042,141
21517.799146203106,12647.146002426878,0.18494555086952855,1.1308829462557308,34166.26097712711,142
21676.454835754073,12397.509528908324,0.17390267011052393,1.0749977574985117,34075.21326509,143
21836.281776281463,12150.169787543698,0.16361410059153025,1.0222938002541602,33987.63747172601,144
21997.288557650525,11905.279486791129,0.15402850190174133,0.9725835610757748,33903.694656504624,145
22159.48383294171,11662.982381367206,0.14509694498904427,0.9256877362378985,33823.53699899014,146
22322.876318450646,11423.413272247,0.13677291216001922,0.8814352317365177,33747.307798841546,147
22487.474793688147,11186.698006664052,0.1290122970799396,0.8396631632890628,33675.14147581257,148
22653.28810138022,10952.953478110368,0.12177340477277203,0.8002168563344074,33607.1635697517,149
22820.325147468062,10722.287626336434,0.11501695162117623,0.7629498460328694,33543.490740602145,150
22988.594901108052,10494.799437351207,0.10870606536650522,0.7277238772662105,33484.23076840189,151
23158.106394671762,10270.578943422108,0.10280628510880513,0.6944089046376363,33429.48255328362,152
23328.868723745945,10049.70722307504,0.09728556130681534,0.6628830924717952,33379.33611547477,153
23500.891047132554,9832.25640109437,0.0921142557779683,0.6330328148147809,33333.87259529752,154
23674.182586848714,9618.289648522941,0.08726514169838975,0.6047526554341295,33293.16425316879,155
23848.75262812675,9407.861182662065,0.08271340360289861,0.5779454078188215,33257.274469600234,156
24024.610519414164,9201.01626707153,0.07843663738500696,0.5525220751792815,33226.25774519826,157
24201.765682450314,8997.795507866529,0.07441591883308872,0.5284018013844372,33200.16400803706,158
24380.227614084146,8798.235723142461,0.07063697008077341,0.5055127181318532,33179.03948691482,159
24560.005853650473,8602.356223269971,0.06708495113370193,0.4837886981067374,33162.912950569684,160
24741.110011438755,8410.170975192661,0.06374559554366577,0.46316637785078135,33151.80789860481,161
24923.5497699494,8221.689137738673,0.060605309013773895,0.4435851023358397,33145.743098099425,162
25107.334883893756,8036.915061620684,0.05765116939845279,0.42498692496393015,33144.732583608806,163
25292.475180194113,7855.848289435907,0.05487092670344643,0.4073166075672336,33148.78565716429,164
