subclone_1,subclone_2,subclone_3,subclone_4,subclone_5,total_tumor,days
1036.5395535722798,34077.83518468991,41731.84437749311,0.009988578472697456,10457.246430198702,87303.47553453247,138
1040.0208419970165,34099.8174745964,41358.07224060763,0.009846508600074994,10423.111146205138,86921.03154991478,139
1043.5139586747111,34120.75123811473,40979.47847595729,0.009905069487238537,10388.504624022877,86532.25820183908,140
1047.0189464540558,34140.62525014444,40596.25326994565,0.0,10353.433082828251,86137.3305493724,141
1050.5358482890924,34159.428314169396,40208.59321431941,0.0,10317.902895967674,85736.46027274558,142
1054.0647072344534,34177.149269515714,39816.700747199226,0.0,10281.920586185008,85329.8353101344,143
1057.6055664417793,34193.77699984573,39420.78352734762,0.0,10245.49282022614,84917.65891386128,144
1061.158469159711,34209.300433181445,39021.054432511504,0.0,10208.62640882472,84500.13974367738,145
1064.723458981337,34223.70991514808,38617.70817999413,0.0,10171.327413633211,84077.46896775675,146
1068.3005807064005,34237.0017931542,38210.8505105764,0.0,10133.598171254009,83649.75105569101,147
1071.8898778367327,34249.164519463004,37800.735514073545,0.0,10095.44633167238,83217.23624304567,148
1075.491393715539,34260.185360592404,37387.638194277344,0.0,10056.88048544349,82780.19543402878,149
1079.1051717805922,34270.05182880683,36971.82918110781,0.0,10017.909232081454,82338.89541377667,150
1082.7312555642318,34278.751682117254,36553.574730613174,0.0,9978.541180059352,81893.59884835403,151
1086.3696886933658,34286.27292428117,36133.136724969896,0.0,9938.784946809214,81444.56428475365,152
1090.020514889469,34292.603804802624,35710.77267248269,0.0,9898.649158722028,80992.04615089681,153
1093.683777968584,34297.73281893216,35286.73570758447,0.0,9858.142451147742,80536.29475563295,154
1097.359521841321,34301.648707666885,34861.274590836394,0.0,9817.273468395259,80077.55628873987,155
1101.0477905128573,34304.34045775042,34434.63370892784,0.0,9776.050863732435,79616.07282092355,156
1104.748628082938,34305.79730167291,34007.053074676434,0.0,9734.483299386091,79152.08230381837,157
1108.4620787458753,34306.00871767105,33578.76832702801,0.0,9692.579446541997,78685.81856998694,158
1112.1881867905497,34304.964429728054,33150.01073105665,0.0,9650.347985344883,78217.51133292014,159
1115.926996600408,34302.65440757367,32721.007177964657,0.0,9607.797604898436,77747.38618703718,160
1119.6785526534659,34299.06886668418,32291.980185082557,0.0,9564.9370032653,77275.6646076855,161
1123.4428995223052,34294.19826828239,31863.147895869122,0.0,9521.774887467074,76802.5639511409,162
1127.220081874076,34288.03331933764,31434.724079911335,0.0,9478.319973484317,76328.29745460738,163
1131.0101444704958,34280.56497256581,31006.91813292442,0.0,9434.58098625654,75853.07423621726,164
1134.8131321678495,34271.784426429294,30579.935076751834,0.0,9390.566659682216,75377.09929503119,165
1138.6290899169896,34261.683125137024,30153.97555936525,0.0,9346.285736618769,74900.57351103803,166
1142.4580627633356,34250.25275864448,29729.23585486459,0.0,9301.746968882586,74423.69364515498,167
1146.3000958468754,34237.485262653645,29305.90786347798,0.0,9256.959117249007,73946.65233922751,168
1150.1552344021634,34223.372818613054,28884.179111561803,0.0,9211.930951452328,73469.63811602935,169
1154.023523758322,34207.907853717756,28464.232751600648,0.0,9166.671250185807,72992.83537926254,170
1157.905009339041,34191.08304090935,28046.24756220735,0.0,9121.188801101653,72516.4244135574,171
1161.799736662578,34172.89129887595,27630.39794812297,0.0,9075.492400811032,72040.58138447252,172
1165.7077513417576,34153.32579205221,27216.853940216788,0.0,9029.59085488407,71565.47833849482,173
1169.6290990839718,34132.3799306193,26805.781195486332,0.0,8983.492977849852,71091.28320303945,174
1173.5638256911811,34110.04737050496,26397.34099705734,0.0,8937.20759319641,70618.15978644989,175
1177.5119770599122,34086.32201338341,25991.69025418379,0.0,8890.743533370744,70146.26777799785,176
1181.47359918126,34061.19800667544,25588.9815022479,0.0,8844.109639778802,69675.7627478834,177
1185.4487381408867,34034.66974354835,25189.3629027601,0.0,8797.314762785498,69206.79614723483,178
1189.4374401190219,34006.73186291598,24792.978243359048,0.0,8750.367761714691,68739.51530810873,179
1193.4397513904632,33977.379249438694,24399.966937811645,0.0,8703.277504849208,68274.06344349001,180
1197.455718324575,33946.607033523396,24010.46402601302,0.0,8656.052869430825,67810.57964729183,181
1201.4853873852896,33914.41059132351,23624.60017398653,0.0,8608.702741660278,67349.1988943556,182
